Contact_id,Number,Phone_type,Area_code
1,732-392-7165,cell,732
2,907-913-3698,cell,907
3,637-715-3867,cell,637
4,359-747-1907,cell,359
5,543-710-0843,cell,543
6,227-992-2900,cell,227
7,181-781-9784,cell,181
8,871-791-7851,cell,871
9,933-257-7616,cell,933
10,747-303-4705,cell,747
11,423-257-0444,cell,423
12,537-987-3004,cell,537
13,994-189-5386,cell,994
14,223-746-7737,cell,223
15,769-740-9664,cell,769
16,275-477-5499,cell,275
17,272-367-4116,cell,272
18,770-282-5502,cell,770
19,131-155-6846,cell,131
20,452-967-2050,cell,452
21,310-517-1998,cell,310
22,905-442-0240,cell,905
23,886-702-1908,cell,886
24,562-617-1312,cell,562
25,873-511-6075,cell,873
26,826-297-4157,cell,826
27,770-453-6125,cell,770
28,806-105-9954,cell,806
29,899-522-4338,cell,899
30,993-228-0137,cell,993
31,939-693-0069,cell,939
32,330-860-4567,cell,330
33,,cell,
34,189-158-2552,cell,189
35,929-650-9987,cell,929
36,713-373-4369,cell,713
37,708-580-5566,cell,708
38,544-254-3783,cell,544
39,918-967-1567,cell,918
40,441-572-3400,cell,441
41,798-797-3341,cell,798
42,519-774-5168,cell,519
43,808-824-0672,cell,808
44,584-539-0112,cell,584
45,398-879-3327,cell,398
46,930-819-8669,cell,930
47,146-300-8184,cell,146
48,637-650-0978,cell,637
49,,cell,
50,488-851-7113,cell,488
51,771-812-0449,cell,771
52,258-263-5860,cell,258
53,378-873-6862,cell,378
54,125-655-6551,cell,125
55,320-344-7502,cell,320
56,614-951-1081,cell,614
57,158-791-4110,cell,158
58,502-272-1989,cell,502
59,743-364-4750,cell,743
60,801-995-3628,cell,801
61,978-461-6856,cell,978
62,791-162-2031,cell,791
63,968-277-3614,cell,968
64,798-873-9529,cell,798
65,288-674-1492,cell,288
66,334-497-2608,cell,334
67,,cell,
68,203-431-4947,cell,203
69,307-758-9076,cell,307
70,849-695-9335,cell,849
71,748-818-7221,cell,748
72,697-516-7673,cell,697
73,,cell,
74,359-128-8195,cell,359
75,853-669-6031,cell,853
76,182-313-3105,cell,182
77,645-688-9829,cell,645
78,952-872-9308,cell,952
79,,cell,
80,896-621-0151,cell,896
81,301-947-1348,cell,301
82,442-776-7096,cell,442
83,131-277-8084,cell,131
84,112-337-2438,cell,112
85,467-112-0628,cell,467
86,512-999-1443,cell,512
87,311-847-9441,cell,311
88,322-220-0314,cell,322
89,793-596-6729,cell,793
90,920-954-7865,cell,920
91,996-463-7162,cell,996
92,685-563-0088,cell,685
93,335-464-4346,cell,335
94,289-490-2307,cell,289
95,438-145-4987,cell,438
96,299-709-3929,cell,299
97,322-529-5730,cell,322
98,554-908-6180,cell,554
99,298-978-5587,cell,298
100,518-928-2083,cell,518
101,467-169-7052,cell,467
102,601-151-6193,cell,601
103,415-761-2375,cell,415
104,932-478-6742,cell,932
105,612-751-9073,cell,612
106,738-834-4899,cell,738
107,518-553-9464,cell,518
108,215-217-7070,cell,215
109,817-774-4659,cell,817
110,985-795-6001,cell,985
111,280-593-0508,cell,280
112,634-832-4961,cell,634
113,671-420-1296,cell,671
114,743-968-9698,cell,743
115,850-168-3428,cell,850
116,685-794-3792,cell,685
117,626-230-5244,cell,626
118,189-946-4134,cell,189
119,499-521-3027,cell,499
120,525-786-1129,cell,525
121,162-591-7297,cell,162
122,734-943-5823,cell,734
123,927-269-5557,cell,927
124,560-540-7010,cell,560
125,368-393-8119,cell,368
126,819-216-7409,cell,819
127,510-507-2668,cell,510
128,417-939-5637,cell,417
129,689-724-6341,cell,689
130,659-300-9914,cell,659
131,485-509-8914,cell,485
