Contact_id,Number,Phone_type,Area_code
1,,home,
2,441-557-2835,home,441
3,998-239-4082,home,998
4,,home,
5,317-756-0975,home,317
6,,home,
7,,home,
8,,home,
9,,home,
10,449-971-7759,home,449
11,790-832-4539,home,790
12,812-671-2569,home,812
13,,home,
14,454-730-8259,home,454
15,,home,
16,629-438-4169,home,629
17,804-209-6009,home,804
18,,home,
19,,home,
20,,home,
21,,home,
22,130-493-8381,home,130
23,234-782-3406,home,234
24,387-995-2640,home,387
25,,home,
26,,home,
27,,home,
28,,home,
29,388-488-7596,home,388
30,744-544-2543,home,744
31,,home,
32,742-302-1759,home,742
33,154-670-0891,home,154
34,,home,
35,656-894-9957,home,656
36,,home,
37,,home,
38,581-510-2303,home,581
39,280-345-6777,home,280
40,549-882-4758,home,549
41,955-332-1578,home,955
42,,home,
43,935-397-8398,home,935
44,,home,
45,,home,
46,438-558-8607,home,438
47,551-539-6647,home,551
48,,home,
49,453-222-0717,home,453
50,848-699-3800,home,848
51,,home,
52,567-135-0102,home,567
53,462-845-3036,home,462
54,,home,
55,378-682-1902,home,378
56,765-701-9463,home,765
57,324-319-1885,home,324
58,,home,
59,,home,
60,,home,
61,,home,
62,,home,
63,188-450-8080,home,188
64,,home,
65,758-101-8619,home,758
66,647-325-5036,home,647
67,,home,
68,,home,
69,721-974-7317,home,721
70,359-310-9403,home,359
71,,home,
72,,home,
73,,home,
74,,home,
75,,home,
76,,home,
77,258-960-2550,home,258
78,738-434-8751,home,738
79,,home,
80,,home,
81,,home,
82,761-508-2579,home,761
83,,home,
84,,home,
85,,home,
86,,home,
87,,home,
88,760-702-3529,home,760
89,454-192-9694,home,454
90,,home,
91,,home,
92,,home,
93,800-490-0502,home,800
94,,home,
95,804-522-4722,home,804
96,514-186-3739,home,514
97,,home,
98,,home,
99,,home,
100,870-885-1418,home,870
101,,home,
102,,home,
103,369-238-2038,home,369
104,,home,
105,,home,
106,,home,
107,,home,
108,166-513-3272,home,166
109,725-966-9431,home,725
110,768-841-9661,home,768
111,,home,
112,,home,
113,,home,
114,443-590-1681,home,443
115,,home,
116,,home,
