Contact_id,Address,City,State,Zip,Address_type
1,90103 Glacier Hill Terrace,Plano,Texas,75003.0,work
2,37 Sommers Hill,Addison,Texas,75006.0,work
3,,,,,work
4,3 Mccormick Parkway,Allen,Texas,75008.0,work
5,35836 Banding Way,Richardson,Texas,75004.0,work
6,44 Farragut Avenue,Addison,Texas,75009.0,work
7,,,,,work
8,363 Truax Trail,Addison,Texas,75005.0,work
9,17 Clyde Gallagher Alley,Richardson,Texas,75007.0,work
10,,,,,work
11,,,,,work
12,,,,,work
13,8705 West Junction,Addison,Texas,75008.0,work
14,,,,,work
15,,,,,work
16,,,,,work
17,3522 Butternut Place,Plano,Texas,75001.0,work
18,,,,,work
19,,,,,work
20,51819 Donald Trail,Richardson,Texas,75002.0,work
21,,,,,work
22,3715 Muir Park,Dallas,Texas,75005.0,work
23,4 Emmet Junction,Plano,Texas,75004.0,work
24,,,,,work
25,2 Lillian Drive,Addison,Texas,75001.0,work
26,6 Michigan Pass,Dallas,Texas,75004.0,work
27,2408 Riverside Parkway,Plano,Texas,75007.0,work
28,,,,,work
29,,,,,work
30,,,,,work
31,81910 Towne Hill,Plano,Texas,75007.0,work
32,,,,,work
33,,,,,work
34,2 Farwell Park,Allen,Texas,75008.0,work
35,5031 Service Trail,Dallas,Texas,75003.0,work
36,1096 5th Drive,Richardson,Texas,75008.0,work
37,,,,,work
38,,,,,work
39,868 Continental Road,Plano,Texas,75005.0,work
40,66986 Vidon Trail,Richardson,Texas,75003.0,work
41,8 Luster Circle,Addison,Texas,75004.0,work
42,97544 Arizona Crossing,Allen,Texas,75001.0,work
43,3 5th Junction,Dallas,Texas,75008.0,work
44,,,,,work
45,,,,,work
46,08 Everett Crossing,Plano,Texas,75005.0,work
47,394 Mayfield Drive,Plano,Texas,75002.0,work
48,,,,,work
49,7 Talisman Alley,Allen,Texas,75004.0,work
50,3 Redwing Terrace,Dallas,Texas,75006.0,work
51,33 Melby Park,Allen,Texas,75003.0,work
52,,,,,work
53,,,,,work
54,,,,,work
55,9562 Northfield Park,Plano,Texas,75009.0,work
56,853 Mayfield Place,Allen,Texas,75005.0,work
57,,,,,work
58,65588 Claremont Plaza,Plano,Texas,75001.0,work
59,8 Kings Crossing,Allen,Texas,75004.0,work
60,,,,,work
61,4 Saint Paul Junction,Dallas,Texas,75006.0,work
62,095 Hagan Center,Plano,Texas,75003.0,work
63,,,,,work
64,00 Haas Road,Allen,Texas,75009.0,work
65,928 Charing Cross Alley,Plano,Texas,75007.0,work
66,3682 American Road,Richardson,Texas,75003.0,work
67,,,,,work
68,23469 Annamark Center,Richardson,Texas,75002.0,work
69,,,,,work
70,455 Westend Point,Dallas,Texas,75003.0,work
71,,,,,work
72,,,,,work
73,9 Mandrake Place,Allen,Texas,75004.0,work
74,4 Ilene Junction,Richardson,Texas,75009.0,work
75,,,,,work
76,316 Eagan Circle,Richardson,Texas,75007.0,work
77,,,,,work
78,,,,,work
79,,,,,work
80,23 Debra Road,Plano,Texas,75003.0,work
81,,,,,work
82,,,,,work
83,,,,,work
84,82238 Ludington Park,Addison,Texas,75003.0,work
85,005 Derek Terrace,Richardson,Texas,75002.0,work
86,351 Shelley Court,Richardson,Texas,75001.0,work
