Contact_id,Number,Phone_type,Area_code
1,575-780-6421,work,575
2,526-691-3663,work,526
3,470-347-7202,work,470
4,,work,
5,672-643-5210,work,672
6,935-221-4565,work,935
7,,work,
8,420-902-8960,work,420
9,536-596-8574,work,536
10,405-746-6553,work,405
11,,work,
12,974-398-8066,work,974
13,,work,
14,,work,
15,944-146-6149,work,944
16,100-718-3343,work,100
17,,work,
18,725-135-7813,work,725
19,373-829-6128,work,373
20,205-867-7790,work,205
21,136-209-9292,work,136
22,732-735-8158,work,732
23,,work,
24,364-839-7318,work,364
25,754-815-2133,work,754
26,,work,
27,205-324-5139,work,205
28,742-339-9060,work,742
29,570-895-9983,work,570
30,,work,
31,612-222-9943,work,612
32,,work,
33,555-996-6608,work,555
34,955-258-7776,work,955
35,,work,
36,844-442-7505,work,844
37,222-834-2561,work,222
38,277-275-7948,work,277
39,337-587-0981,work,337
40,147-887-5649,work,147
41,,work,
42,,work,
43,346-177-2480,work,346
44,504-702-5753,work,504
45,335-829-3422,work,335
46,310-276-0552,work,310
47,619-706-2111,work,619
48,767-102-8784,work,767
49,,work,
50,395-288-3413,work,395
51,411-205-9343,work,411
52,709-745-0219,work,709
53,575-701-3295,work,575
54,,work,
55,749-296-8636,work,749
56,920-329-4108,work,920
57,,work,
58,755-534-1340,work,755
59,775-391-2049,work,775
60,992-279-8238,work,992
61,685-481-0480,work,685
62,,work,
63,,work,
64,834-909-1478,work,834
65,,work,
66,712-204-2142,work,712
67,569-828-2353,work,569
68,365-927-9690,work,365
69,284-234-0042,work,284
70,,work,
71,,work,
72,,work,
73,689-233-6416,work,689
74,442-144-0201,work,442
75,,work,
76,,work,
77,535-238-8834,work,535
78,146-778-2020,work,146
79,463-183-4657,work,463
80,741-274-5179,work,741
81,928-679-8594,work,928
82,,work,
83,,work,
84,812-390-3319,work,812
85,185-191-2451,work,185
86,996-985-1004,work,996
87,972-245-7747,work,972
88,712-270-4972,work,712
89,,work,
90,,work,
91,,work,
92,951-307-6360,work,951
93,275-459-6375,work,275
94,845-667-9320,work,845
95,610-394-0372,work,610
96,,work,
97,374-927-8236,work,374
98,497-161-2807,work,497
99,,work,
100,446-971-3511,work,446
101,560-427-8364,work,560
102,,work,
103,644-697-0806,work,644
104,,work,
105,903-723-8230,work,903
106,575-831-8442,work,575
107,171-586-9880,work,171
108,355-563-4878,work,355
109,665-431-3941,work,665
110,135-820-4074,work,135
111,384-566-9537,work,384
112,,work,
113,126-184-5686,work,126
114,319-215-9511,work,319
115,425-649-6990,work,425
116,,work,
117,,work,
118,,work,
119,456-574-3485,work,456
120,,work,
121,,work,
122,175-896-9475,work,175
123,660-861-7324,work,660
124,,work,
125,885-614-2560,work,885
126,601-464-5787,work,601
127,,work,
128,533-739-6596,work,533
129,470-766-4449,work,470
130,878-648-8002,work,878
131,320-144-5636,work,320
132,440-549-6823,work,440
133,959-118-6515,work,959
134,,work,
135,851-810-7191,work,851
136,,work,
137,802-173-4188,work,802
138,311-559-9990,work,311
139,596-335-4027,work,596
140,998-102-4319,work,998
141,,work,
142,523-284-1173,work,523
143,682-788-0921,work,682
144,,work,
145,940-916-1708,work,940
146,599-479-7143,work,599
147,194-514-6250,work,194
148,605-462-1975,work,605
149,800-218-9724,work,800
150,,work,
151,130-575-1451,work,130
152,780-729-0513,work,780
153,270-936-1024,work,270
154,212-357-5802,work,212
155,363-591-9833,work,363
156,308-853-5308,work,308
157,505-531-2951,work,505
158,583-506-0181,work,583
159,,work,
160,272-475-7047,work,272
161,,work,
162,871-525-5326,work,871
163,906-287-3813,work,906
164,519-539-6640,work,519
165,,work,
166,299-392-3863,work,299
167,774-467-6424,work,774
168,138-193-3944,work,138
169,922-656-3574,work,922
170,179-846-7624,work,179
171,316-810-2478,work,316
172,429-564-2215,work,429
173,,work,
174,,work,
175,,work,
176,703-259-6055,work,703
177,238-854-7937,work,238
178,,work,
179,503-731-6441,work,503
180,,work,
181,677-801-8753,work,677
182,508-481-0030,work,508
183,580-158-6597,work,580
184,292-116-1054,work,292
185,475-504-7773,work,475
186,201-156-7465,work,201
187,161-517-0954,work,161
188,364-650-8064,work,364
189,732-664-1953,work,732
190,669-622-5273,work,669
191,,work,
192,162-660-8196,work,162
193,,work,
194,927-824-8433,work,927
195,935-971-9145,work,935
196,306-748-2425,work,306
197,784-524-1493,work,784
198,528-555-9675,work,528
199,,work,
200,,work,
201,221-904-6120,work,221
202,,work,
203,418-875-6867,work,418
204,713-480-9106,work,713
205,746-410-5130,work,746
206,244-357-2839,work,244
207,,work,
208,677-609-3277,work,677
209,,work,
210,550-570-7649,work,550
211,,work,
212,577-386-0520,work,577
213,137-998-6889,work,137
214,,work,
215,585-884-7792,work,585
216,770-578-3527,work,770
217,724-777-7402,work,724
218,,work,
219,,work,
220,391-234-9494,work,391
